{name: 'benchmarks/curated/scc', z3: 77, souffle: 614, runtime: 14.902408838272095, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.23926401138305664, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.23941779136657715, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.2157118320465088, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.21593928337097168, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.22680449485778809, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.22701621055603027, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.20727252960205078, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.20744967460632324, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.195573091506958, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.19577908515930176, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.17145395278930664, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.17159533500671387, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.1898045539855957, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.18999290466308594, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.2702312469482422, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.270371675491333, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 122, souffle: 882, runtime: 21.754328966140747, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 74, souffle: 626, runtime: 13.348000049591064, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 137, souffle: 1315, runtime: 27.097895622253418, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 2.308877944946289, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 2.3377089500427246, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 85, souffle: 615, runtime: 26.642955780029297, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 1109, souffle: 1475, runtime: 65.62091779708862, setting_delta: 1}
{name: 'benchmarks/curated/scc', z3: 1168, souffle: 1530, runtime: 52.48306179046631, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.33087158203125, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.3315086364746094, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.09413576126098633, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.09428715705871582, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.09546208381652832, setting_delta: 1}
{name: 'kg', z3: 1, souffle: 1, runtime: 0.09293484687805176, setting_delta: 1}
