augustus	gaius_octavius
julia_the_elder	scribonia
julia_the_elder	clodia_pulchra
nicholas_ii_of_russia	alexander_iii_of_russia
nicholas_ii_of_russia	maria_feodorovna_dagmar_of_denmark
grand_duke_michael_alexandrovich_of_russia	alexander_iii_of_russia
grand_duke_michael_alexandrovich_of_russia	maria_feodorovna_dagmar_of_denmark
grand_duchess_olga_alexandrovna_of_russia	alexander_iii_of_russia
grand_duchess_olga_alexandrovna_of_russia	maria_feodorovna_dagmar_of_denmark
grand_duke_alexander_alexandrovich_of_russia	alexander_iii_of_russia
grand_duke_alexander_alexandrovich_of_russia	maria_feodorovna_dagmar_of_denmark
grand_duke_george_alexandrovich_of_russia	alexander_iii_of_russia
grand_duke_george_alexandrovich_of_russia	maria_feodorovna_dagmar_of_denmark
grand_duchess_xenia_alexandrovna_of_russia	alexander_iii_of_russia
grand_duchess_xenia_alexandrovna_of_russia	maria_feodorovna_dagmar_of_denmark
sancho_i_of_portugal	afonso_i_of_portugal
sancho_i_of_portugal	maud_of_savoy
charles_hibbert_tupper	frances_tupper
patrick_wayne	john_wayne
patrick_wayne	esperanza_baur
patrick_wayne	pilar_pallete
justin_trudeau	margaret_trudeau
alexandre_trudeau	margaret_trudeau
michel_trudeau	margaret_trudeau
deborah_coyne	margaret_trudeau
stephen_of_england	stephen_ii_count_of_blois
eustace_iv_count_of_boulogne	stephen_of_england
eustace_iv_count_of_boulogne	matilda_of_boulogne
william_i_count_of_boulogne	stephen_of_england
william_i_count_of_boulogne	matilda_of_boulogne
marie_i_countess_of_boulogne	stephen_of_england
marie_i_countess_of_boulogne	matilda_of_boulogne
thomas_jefferson	jane_randolph_jefferson
marshall_eugene_dewolfe	warren_g_harding
claude_of_valois	catherine_de_medici
claude_of_valois	henry_ii_of_france
matilda_of_habsburg	rudolph_i_of_germany
matilda_of_habsburg	gertrude_of_hohenburg
matilda_of_habsburg	isabella_of_burgundy_12701323
victoria_of_the_united_kingdom	emich_carl_2nd_prince_of_leiningen
princess_beatrice_of_the_united_kingdom	albert_prince_consort
farouk_of_egypt	fuad_i_of_egypt
farouk_of_egypt	nazli_sabri
fuad_ii_of_egypt	farouk_of_egypt
fuad_ii_of_egypt	narriman_sadek
fuad_ii_of_egypt	farida_of_egypt
princess_farial_of_egypt	farouk_of_egypt
princess_farial_of_egypt	narriman_sadek
princess_farial_of_egypt	farida_of_egypt
princess_fadia_of_egypt	farouk_of_egypt
princess_fadia_of_egypt	narriman_sadek
princess_fadia_of_egypt	farida_of_egypt
princess_fawzia_farouk_of_egypt	farouk_of_egypt
princess_fawzia_farouk_of_egypt	narriman_sadek
princess_fawzia_farouk_of_egypt	farida_of_egypt
robin_wilson_mathematician	mary_wilson_lady_wilson_of_rievaulx
princess_stéphanie_of_belgium	leopold_ii_of_belgium
princess_stéphanie_of_belgium	marie_henriette_of_austria
princess_louisemarie_of_belgium	marie_henriette_of_austria
princess_clémentine_of_belgium	leopold_ii_of_belgium
princess_clémentine_of_belgium	marie_henriette_of_austria
prince_leopold_duke_of_brabant	marie_henriette_of_austria
lorna_luft	judy_garland
lorna_luft	lynn_bari
lorna_luft	camille_keaton
olav_iv_of_norway	haakon_vi_of_norway
louis_bonaparte	carlo_buonaparte
napoleon_louis_bonaparte	louis_bonaparte
napoleon_louis_bonaparte	hortense_de_beauharnais
bolesław_iii_wrymouth	judith_of_bohemia
bolesław_iii_wrymouth	władysław_i_herman
bolesław_iii_wrymouth	judith_of_swabia
casimir_ii_the_just	salomea_of_berg
casimir_ii_the_just	zbyslava_of_kiev
eleonore_von_trapp	georg_ludwig_von_trapp
eleonore_von_trapp	maria_von_trapp
hortense_de_beauharnais	napoleon_i
hortense_de_beauharnais	alexandre_de_beauharnais
haakon_vii_of_norway	frederick_viii_of_denmark
haakon_vii_of_norway	louise_of_sweden
olav_v_of_norway	haakon_vii_of_norway
olav_v_of_norway	maud_of_wales
princess_maria_luisa_of_savoy_17291767	countess_palatine_anne_christine_of_sulzbach
victor_emmanuel_iii_of_italy	margherita_of_savoy
victor_emmanuel_iii_of_italy	umberto_i_of_italy
umberto_ii_of_italy	elena_of_montenegro
princess_maria_beatrice_of_savoy	marie_josé_of_belgium
princess_maria_gabriella_of_savoy	marie_josé_of_belgium
henry_ii_of_france	francis_i_of_france
lt_Duke_of_BrabantJohn_II_Duke_of_Brabantgt	lt_Duke_of_BrabantMargaret_of_France_Duchess_of_Brabantgt
lt_Duke_of_BrabantMargaret_of_Brabantgt	lt_Duke_of_BrabantMargaret_of_France_Duchess_of_Brabantgt
france_chrétien_desmarais	aline_chrétien
michel_chrétien	aline_chrétien
philip_i_of_france	anne_of_kiev
philip_i_of_france	henry_i_of_france
philip_i_of_france	matilda_of_frisia
constance_of_france_princess_of_antioch	philip_i_of_france
constance_of_france_princess_of_antioch	bertha_of_holland
constance_of_france_princess_of_antioch	bertrade_de_montfort
lt_Earl_of_SurreyThomas_Howard_4th_Duke_of_Norfolkgt	lt_7th_Duke_of_NorfolkMary_Howard_Duchess_of_Norfolk_d_1705gt
ahmose_i	ahhotep_i
ahmose_i	sitdjehuti
ahmosemeritamun	ahmosenefertari
ahmosemeritamun	ahmosesitkamose
ahmosemeritamun	ahmosehenuttamehu
charlotte_gainsbourg	serge_gainsbourg
charlotte_gainsbourg	john_barry_composer
charlotte_gainsbourg	jacques_doillon
akhenaten	amenhotep_iii
akhenaten	tiye
smenkhkare	meritaten
smenkhkare	ankhesenamun
smenkhkare	nefertiti
smenkhkare	tiye
smenkhkare	the_younger_lady_mummy
smenkhkare	kiya
gustav_iv_adolf_of_sweden	sophia_magdalena_of_denmark
gustav_iv_adolf_of_sweden	gustav_iii_of_sweden
gustavus_crown_prince_of_sweden	gustav_iv_adolf_of_sweden
gustavus_crown_prince_of_sweden	frederica_of_baden
ingrid_of_sweden	princess_margaret_of_connaught
ingrid_of_sweden	gustaf_vi_adolf_of_sweden
ingrid_of_sweden	louise_mountbatten
paul_pelosi_jr	paul_pelosi
isabella_ii_of_spain	maria_josepha_of_saxony
isabella_ii_of_spain	ferdinand_vii_of_spain
isabella_ii_of_spain	maria_christina_of_the_two_sicilies
isabella_ii_of_spain	agustín_fernández_muñoz_duke_of_riansares
infanta_eulalia_of_spain	francis_duke_of_cádiz
christian_iv_of_denmark	sophie_of_mecklenburggüstrow
frederick_iii_of_denmark	anne_catherine_of_brandenburg
frederick_iii_of_denmark	kirsten_munk
christian_v_of_denmark	frederick_iii_of_denmark
christian_v_of_denmark	sophie_amalie_of_brunswicklüneburg
ulrika_eleonora_of_denmark	frederick_iii_of_denmark
ulrika_eleonora_of_denmark	sophie_amalie_of_brunswicklüneburg
prince_george_of_denmark	frederick_iii_of_denmark
prince_george_of_denmark	sophie_amalie_of_brunswicklüneburg
princess_frederica_amalia_of_denmark	frederick_iii_of_denmark
princess_frederica_amalia_of_denmark	sophie_amalie_of_brunswicklüneburg
princess_anna_sophie_of_denmark	frederick_iii_of_denmark
princess_anna_sophie_of_denmark	sophie_amalie_of_brunswicklüneburg
frederick_viii_of_denmark	christian_ix_of_denmark
frederick_viii_of_denmark	louise_of_hessekassel
john_i_of_aragon	peter_iv_of_aragon
john_i_of_aragon	eleanor_of_sicily
john_i_of_aragon	eleanor_of_portugal_queen_of_aragon
john_i_of_aragon	maria_of_navarre
john_i_of_aragon	sibila_of_fortia
yolande_of_aragon	martha_of_armagnac
yolande_of_aragon	violant_of_bar
margrethe_ii_of_denmark	ingrid_of_sweden
margrethe_ii_of_denmark	frederick_ix_of_denmark
princess_benedikte_of_denmark	frederick_ix_of_denmark
queen_annemarie_of_greece	ingrid_of_sweden
queen_annemarie_of_greece	frederick_ix_of_denmark
ferdinand_i_of_portugal	constance_of_peñafiel
beatrice_of_portugal	ferdinand_i_of_portugal
beatrice_of_portugal	leonor_telles_de_menezes
samuel_west	prunella_scales
samuel_west	timothy_west
stephen_v_of_hungary	maria_laskarina
ladislaus_iv_of_hungary	stephen_v_of_hungary
ladislaus_iv_of_hungary	elizabeth_the_cuman
mary_of_hungary_queen_of_naples	stephen_v_of_hungary
mary_of_hungary_queen_of_naples	elizabeth_the_cuman
catherine_of_hungary_queen_of_serbia	stephen_v_of_hungary
catherine_of_hungary_queen_of_serbia	elizabeth_the_cuman
elizabeth_of_hungary_queen_of_serbia	stephen_v_of_hungary
elizabeth_of_hungary_queen_of_serbia	elizabeth_the_cuman
lt_Princess_of_RéthyPrince_Alexander_of_Belgiumgt	lt_Princess_of_RéthyLeopold_III_of_Belgiumgt
lt_1st_Duke_of_NorthumberlandJohn_Dudley_2nd_Earl_of_Warwickgt	lt_2nd_Earl_of_WarwickAnne_Dudley_Countess_of_Warwickgt
abraham_van_riebeeck	maria_van_riebeeck
alexander_benard	cheryl_benard
chulalongkorn	mongkut
chulalongkorn	debsirindra
chulalongkorn	pannarai
vajiravudh	chulalongkorn
vajiravudh	savang_vadhana
vajiravudh	saovabha_bongsri
vajiravudh	sunandha_kumariratana
prajadhipok	chulalongkorn
prajadhipok	savang_vadhana
