amitabh_bachchan	allahabad
belfast	united_kingdom
belfast	lt_New_YorkNew_Yorkgt
chiapas	mexico
mexico	lt_MissouriMissourigt
democratic_progressive_party	taipei
taipei	geoent_taiwan_1668284
military_of_guinea	kindia
gte	irving_texas
gia_carangi	philadelphia
philadelphia	pennsylvania
hopewell_centre	lt_Hong_KongHong_Konggt
harleydavidson	milwaukee
milwaukee	wisconsin
jakarta	indonesia
avtovaz	tolyatti
love_parade	germany
korean_peoples_army	pyongyang
plymouth	united_kingdom
plymouth	lt_MassachusettsPlymouth_County_Massachusettsgt
square_co	tokyo
venice	venetian_lagoon
venice	lt_New_YorkNew_Yorkgt
venice	lt_FloridaSarasota_County_Floridagt
dresden	saxony
saxony	germany
los_alamos_national_laboratory	los_alamos_new_mexico
tocantins	brazil
tigard	lt_OregonOregongt
potsdam	brandenburg
brandenburg	germany
elbe	hradec_králové_region
niagara_falls	ontario
salt_lake_city	utah
acorn_computers	cambridge
cambridge	lt_MassachusettsMiddlesex_County_Massachusettsgt
cambridge	east_of_england
hayman_fire	douglas_county_colorado
ernst__young	london
london	united_kingdom
mission_san_miguel_arcángel	san_miguel_california
mission_san_francisco_de_solano	sonoma_california
roy_lichtenstein	manhattan
manhattan	lt_KansasKansasgt
manhattan	new_york_city
albertville	geoent_albertville_6450958
chaim_soutine	smilavichy
veracruz	mexico
fountains_abbey	north_yorkshire
greta_garbo	stockholm
stockholm	sweden
loyalist_volunteer_force	portadown
portadown	county_armagh
illinois_river	illinois
suze_randall	worcestershire
hopewell	lt_VirginiaVirginiagt
lemnos	greece
sonora	mexico
eads_casa	spain
panasonic_corporation	kadoma_osaka
clayton	lt_AlabamaAlabamagt
clayton	lt_IndianaIndianagt
giorgio_vasari	arezzo
arezzo	etruria
nîmes	geoent_nîmes_6431349
horn_hill	lt_AlabamaAlabamagt
cullman	lt_AlabamaAlabamagt
langston	lt_AlabamaAlabamagt
woodville	lt_AlabamaAlabamagt
trussville	lt_AlabamaAlabamagt
rogersville	lt_AlabamaAlabamagt
st_florian	lt_AlabamaAlabamagt
town_creek	lt_AlabamaAlabamagt
brilliant	lt_AlabamaAlabamagt
kansas	lt_AlabamaAlabamagt
st_george	lt_AlaskaAlaskagt
akiak	lt_AlaskaAlaskagt
nightmute	lt_AlaskaAlaskagt
quinhagak	lt_AlaskaAlaskagt
