alexander_iii_of_russia	maria_feodorovna_dagmar_of_denmark
maria_feodorovna_dagmar_of_denmark	alexander_iii_of_russia
amitabh_bachchan	jaya_bachchan
jaya_bachchan	amitabh_bachchan
arthur_miller	marilyn_monroe
arthur_miller	inge_morath
marilyn_monroe	arthur_miller
marilyn_monroe	joe_dimaggio
marilyn_monroe	james_dougherty
inge_morath	arthur_miller
bram_stoker	florence_balcombe
florence_balcombe	bram_stoker
diocletian	prisca_empress
prisca_empress	diocletian
jack_lemmon	cynthia_stone
jack_lemmon	felicia_farr
cynthia_stone	jack_lemmon
cynthia_stone	cliff_robertson
pol_pot	khieu_ponnary
khieu_ponnary	pol_pot
pierre_trudeau	margaret_trudeau
margaret_trudeau	pierre_trudeau
russell_crowe	danielle_spencer_australian_singer
danielle_spencer_australian_singer	russell_crowe
robin_wright_penn	sean_penn
sean_penn	robin_wright_penn
sean_penn	madonna_entertainer
shannon_elizabeth	joseph_d_reitman
joseph_d_reitman	shannon_elizabeth
stephen_of_england	matilda_of_boulogne
matilda_of_boulogne	stephen_of_england
tiberius	julia_the_elder
tiberius	vipsania_agrippina
julia_the_elder	tiberius
julia_the_elder	marcus_vipsanius_agrippa
yasser_arafat	suha_arafat
suha_arafat	yasser_arafat
oskar_schindler	emilie_schindler
emilie_schindler	oskar_schindler
mai_zetterling	tutte_lemkow
tutte_lemkow	mai_zetterling
barbara_stanwyck	frank_fay_american_actor
barbara_stanwyck	robert_taylor_actor
frank_fay_american_actor	barbara_stanwyck
tom_hanks	rita_wilson
rita_wilson	tom_hanks
dudley_moore	tuesday_weld
dudley_moore	suzy_kendall
tuesday_weld	dudley_moore
tuesday_weld	pinchas_zukerman
david_lloyd_george	frances_stevenson
david_lloyd_george	margaret_lloyd_george
frances_stevenson	david_lloyd_george
margaret_lloyd_george	david_lloyd_george
samuel_johnson	elizabeth_porter
elizabeth_porter	samuel_johnson
robert_dudley	lt_1st_Earl_of_LeicesterLettice_Knollysgt
robert_dudley	lt_1st_Earl_of_LeicesterAmy_Robsartgt
lt_1st_Earl_of_LeicesterLettice_Knollysgt	robert_dudley
farouk_of_egypt	narriman_sadek
farouk_of_egypt	farida_of_egypt
narriman_sadek	farouk_of_egypt
farida_of_egypt	farouk_of_egypt
harold_wilson	mary_wilson_lady_wilson_of_rievaulx
mary_wilson_lady_wilson_of_rievaulx	harold_wilson
marcian	pulcheria
pulcheria	marcian
leopold_ii_of_belgium	marie_henriette_of_austria
marie_henriette_of_austria	leopold_ii_of_belgium
margaret_i_of_denmark	haakon_vi_of_norway
haakon_vi_of_norway	margaret_i_of_denmark
liza_minnelli	peter_allen
liza_minnelli	david_gest
liza_minnelli	jack_haley_jr
peter_allen	liza_minnelli
norma_shearer	irving_thalberg
irving_thalberg	norma_shearer
warren_beatty	annette_bening
annette_bening	warren_beatty
sissy_spacek	jack_fisk
jack_fisk	sissy_spacek
