alexander_iii_of_russia	maria_feodorovna_dagmar_of_denmark
maria_feodorovna_dagmar_of_denmark	alexander_iii_of_russia
amitabh_bachchan	jaya_bachchan
jaya_bachchan	amitabh_bachchan
arthur_miller	marilyn_monroe
arthur_miller	inge_morath
marilyn_monroe	arthur_miller
marilyn_monroe	joe_dimaggio
marilyn_monroe	james_dougherty
bram_stoker	florence_balcombe
diocletian	prisca_empress
jack_lemmon	cynthia_stone
jack_lemmon	felicia_farr
cynthia_stone	jack_lemmon
cynthia_stone	cliff_robertson
pol_pot	khieu_ponnary
pierre_trudeau	margaret_trudeau
russell_crowe	danielle_spencer_australian_singer
danielle_spencer_australian_singer	russell_crowe
robin_wright_penn	sean_penn
sean_penn	robin_wright_penn
sean_penn	madonna_entertainer
shannon_elizabeth	joseph_d_reitman
stephen_of_england	matilda_of_boulogne
matilda_of_boulogne	stephen_of_england
tiberius	julia_the_elder
tiberius	vipsania_agrippina
julia_the_elder	tiberius
julia_the_elder	marcus_vipsanius_agrippa
yasser_arafat	suha_arafat
oskar_schindler	emilie_schindler
emilie_schindler	oskar_schindler
mai_zetterling	tutte_lemkow
barbara_stanwyck	frank_fay_american_actor
frank_fay_american_actor	barbara_stanwyck
tom_hanks	rita_wilson
rita_wilson	tom_hanks
dudley_moore	tuesday_weld
dudley_moore	suzy_kendall
tuesday_weld	dudley_moore
tuesday_weld	pinchas_zukerman
david_lloyd_george	frances_stevenson
david_lloyd_george	margaret_lloyd_george
samuel_johnson	elizabeth_porter
robert_dudley	lt_1st_Earl_of_LeicesterLettice_Knollysgt
robert_dudley	lt_1st_Earl_of_LeicesterAmy_Robsartgt
farouk_of_egypt	narriman_sadek
farouk_of_egypt	farida_of_egypt
narriman_sadek	farouk_of_egypt
farida_of_egypt	farouk_of_egypt
harold_wilson	mary_wilson_lady_wilson_of_rievaulx
marcian	pulcheria
leopold_ii_of_belgium	marie_henriette_of_austria
marie_henriette_of_austria	leopold_ii_of_belgium
margaret_i_of_denmark	haakon_vi_of_norway
liza_minnelli	peter_allen
liza_minnelli	david_gest
liza_minnelli	jack_haley_jr
norma_shearer	irving_thalberg
irving_thalberg	norma_shearer
warren_beatty	annette_bening
annette_bening	warren_beatty
sissy_spacek	jack_fisk
bruce_willis	emma_heming
bruce_willis	demi_moore
emma_heming	bruce_willis
haakon_vii_of_norway	maud_of_wales
maud_of_wales	haakon_vii_of_norway
richard_francis_burton	isabel_burton
isabel_burton	richard_francis_burton
king_vidor	eleanor_boardman
king_vidor	florence_vidor
eleanor_boardman	king_vidor
frederick_ii	lt_Holy_Roman_EmperorBianca_Lanciagt
frederick_ii	lt_Holy_Roman_EmperorIsabella_of_Englandgt
frederick_ii	lt_Holy_Roman_EmperorConstance_of_Aragongt
frederick_ii	lt_Margrave_of_MeissenMatilde_of_Bavariagt
umberto_ii_of_italy	marie_josé_of_belgium
